Education Level,Salary,Years of Experience,Age
Bachelor Degree or Equivalent,10228,3.0,21.0
Bachelor Degree or Equivalent,199500,10.0,29.5
Bachelor Degree or Equivalent,66104,2.0,21.0
Bachelor Degree or Equivalent,61477,6.0,29.5
Bachelor Degree or Equivalent,14415,3.0,29.5
Secondary Education,79325,24.0,49.5
Master Degree or Equivalent,450000,10.0,29.5
Bachelor Degree or Equivalent,110000,7.0,29.5
Bachelor Degree or Equivalent,124000,7.0,29.5
Bachelor Degree or Equivalent,210000,7.0,29.5
Bachelor Degree or Equivalent,120309,12.0,29.5
Secondary Education,105766,17.0,39.5
Bachelor Degree or Equivalent,170000,2.0,21.0
Bachelor Degree or Equivalent,41143,4.0,29.5
Bachelor Degree or Equivalent,28673,8.0,29.5
Master Degree or Equivalent,100000,10.0,39.5
Bachelor Degree or Equivalent,70039,2.0,21.0
Master Degree or Equivalent,140812,6.0,29.5
Bachelor Degree or Equivalent,111527,8.0,29.5
Bachelor Degree or Equivalent,102046,14.0,39.5
Bachelor Degree or Equivalent,75267,6.0,39.5
Bachelor Degree or Equivalent,340913,4.0,29.5
,250000,23.0,39.5
Bachelor Degree or Equivalent,109071,15.0,39.5
Bachelor Degree or Equivalent,157500,5.0,29.5
Bachelor Degree or Equivalent,135000,0.0,21.0
Bachelor Degree or Equivalent,26075,5.0,29.5
Master Degree or Equivalent,28138,7.0,39.5
Associate Degree or Short-cycle Tertiary Education,800000,8.0,29.5
Bachelor Degree or Equivalent,26169,5.0,29.5
Bachelor Degree or Equivalent,2970,4.0,21.0
Bachelor Degree or Equivalent,48328,2.0,21.0
Bachelor Degree or Equivalent,73000,26.0,49.5
Master Degree or Equivalent,165260,36.0,49.5
Bachelor Degree or Equivalent,235000,7.0,29.5
Bachelor Degree or Equivalent,124000,20.0,39.5
,64314,4.0,39.5
Bachelor Degree or Equivalent,64782,5.0,21.0
Master Degree or Equivalent,59970,8.0,29.5
Bachelor Degree or Equivalent,61647,8.0,29.5
Associate Degree or Short-cycle Tertiary Education,42542,12.0,29.5
Bachelor Degree or Equivalent,250000,31.0,49.5
Professional Degree,25620,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,160000,22.0,39.5
Master Degree or Equivalent,103110.08171765343,25.0,59.5
Associate Degree or Short-cycle Tertiary Education,38267,3.0,21.0
Associate Degree or Short-cycle Tertiary Education,79325,25.0,49.5
Bachelor Degree or Equivalent,10920,15.0,59.5
Bachelor Degree or Equivalent,46273,2.0,21.0
Master Degree or Equivalent,48890,10.0,29.5
Bachelor Degree or Equivalent,70344,7.0,29.5
Bachelor Degree or Equivalent,109264,28.0,49.5
Associate Degree or Short-cycle Tertiary Education,122000,10.0,29.5
Master Degree or Equivalent,62455,0.0,39.5
Bachelor Degree or Equivalent,320000,14.0,39.5
Master Degree or Equivalent,148703,16.0,39.5
Associate Degree or Short-cycle Tertiary Education,78913,18.0,39.5
Bachelor Degree or Equivalent,97123,9.0,29.5
Bachelor Degree or Equivalent,225000,9.0,29.5
Master Degree or Equivalent,75594,3.0,29.5
Bachelor Degree or Equivalent,19556,4.0,29.5
Bachelor Degree or Equivalent,198312,41.0,70.0
Associate Degree or Short-cycle Tertiary Education,250000,39.0,59.5
Professional Degree,264416,8.0,39.5
Bachelor Degree or Equivalent,103756,12.0,29.5
Bachelor Degree or Equivalent,197000,10.0,39.5
Bachelor Degree or Equivalent,60000,41.0,49.5
Bachelor Degree or Equivalent,350000,13.0,29.5
Bachelor Degree or Equivalent,103110.08171765343,28.0,49.5
Professional Degree,51763,7.0,29.5
Bachelor Degree or Equivalent,93733,10.0,39.5
Master Degree or Equivalent,98000,28.0,49.5
Master Degree or Equivalent,39662,4.0,39.5
Master Degree or Equivalent,88002,15.0,39.5
Associate Degree or Short-cycle Tertiary Education,112551,16.0,39.5
Bachelor Degree or Equivalent,92545,15.0,39.5
Bachelor Degree or Equivalent,66104,12.0,39.5
Secondary Education,107090,9.0,39.5
Bachelor Degree or Equivalent,12984,2.0,29.5
Professional Degree,275000,36.0,59.5
Master Degree or Equivalent,500000,8.0,29.5
Bachelor Degree or Equivalent,94529,6.0,29.5
Master Degree or Equivalent,193314,13.0,39.5
Professional Degree,6070,5.0,49.5
Master Degree or Equivalent,64254,36.0,59.5
Master Degree or Equivalent,132201,17.0,39.5
Secondary Education,103110.08171765343,29.0,49.5
Master Degree or Equivalent,85935,25.0,49.5
Master Degree or Equivalent,39112,16.0,49.5
Bachelor Degree or Equivalent,500000,12.0,29.5
Master Degree or Equivalent,600000,3.0,39.5
Bachelor Degree or Equivalent,95000,1.0,21.0
Master Degree or Equivalent,49578,16.0,39.5
Bachelor Degree or Equivalent,274331,24.0,49.5
Bachelor Degree or Equivalent,79325,24.0,49.5
Bachelor Degree or Equivalent,89222,4.0,21.0
Bachelor Degree or Equivalent,223798,5.0,29.5
,450000,10.0,49.5
Bachelor Degree or Equivalent,85504,15.0,39.5
Bachelor Degree or Equivalent,111167,4.0,29.5
Bachelor Degree or Equivalent,89222,6.0,29.5
Associate Degree or Short-cycle Tertiary Education,165260,20.0,39.5
Associate Degree or Short-cycle Tertiary Education,66104,20.0,70.0
Bachelor Degree or Equivalent,57346,10.0,39.5
Bachelor Degree or Equivalent,1136,11.0,39.5
Associate Degree or Short-cycle Tertiary Education,46273,1.0,21.0
Professional Degree,79325,15.0,29.5
Professional Degree,52496,21.0,39.5
Bachelor Degree or Equivalent,175000,15.0,49.5
Bachelor Degree or Equivalent,170000,5.0,29.5
Bachelor Degree or Equivalent,12117,1.0,21.0
Bachelor Degree or Equivalent,25765,20.0,49.5
Master Degree or Equivalent,84983,19.0,39.5
Associate Degree or Short-cycle Tertiary Education,200000,7.0,29.5
Bachelor Degree or Equivalent,120000,3.0,21.0
Associate Degree or Short-cycle Tertiary Education,23628,6.0,21.0
Master Degree or Equivalent,103110.08171765343,15.0,21.0
Master Degree or Equivalent,97780,8.0,29.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,13.0,39.5
Associate Degree or Short-cycle Tertiary Education,54277,4.0,21.0
Bachelor Degree or Equivalent,48000,13.0,29.5
Master Degree or Equivalent,74965,6.0,29.5
Professional Degree,103110.08171765343,10.0,33.12089367216994
Associate Degree or Short-cycle Tertiary Education,130115,11.0,29.5
Bachelor Degree or Equivalent,99000,7.0,29.5
Master Degree or Equivalent,145600,12.0,39.5
Bachelor Degree or Equivalent,85935,8.0,39.5
Bachelor Degree or Equivalent,158649,28.0,49.5
Associate Degree or Short-cycle Tertiary Education,100147,12.0,39.5
Bachelor Degree or Equivalent,56757,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,122292,10.0,39.5
Professional Degree,37776,50.0,21.0
Bachelor Degree or Equivalent,99156,4.0,29.5
Bachelor Degree or Equivalent,25233,10.0,29.5
Bachelor Degree or Equivalent,22900,3.0,21.0
Master Degree or Equivalent,185091,25.0,59.5
Associate Degree or Short-cycle Tertiary Education,116000,11.0,29.5
Associate Degree or Short-cycle Tertiary Education,150000,9.0,29.5
Secondary Education,17254,15.0,39.5
Master Degree or Equivalent,35841,6.0,29.5
Bachelor Degree or Equivalent,130000,24.0,39.5
Bachelor Degree or Equivalent,400000,10.0,29.5
Bachelor Degree or Equivalent,233308,8.0,29.5
Bachelor Degree or Equivalent,79986,4.0,21.0
Master Degree or Equivalent,32593,13.0,39.5
Bachelor Degree or Equivalent,741115,15.0,39.5
Professional Degree,103110.08171765343,42.0,70.0
Associate Degree or Short-cycle Tertiary Education,64254,6.0,29.5
Bachelor Degree or Equivalent,31290,25.0,49.5
Master Degree or Equivalent,50178,15.0,39.5
Bachelor Degree or Equivalent,200000,20.0,39.5
Bachelor Degree or Equivalent,297468,16.0,39.5
Master Degree or Equivalent,16,6.0,29.5
Bachelor Degree or Equivalent,152039,21.0,39.5
Bachelor Degree or Equivalent,66045,7.0,29.5
Bachelor Degree or Equivalent,46201,20.0,39.5
Master Degree or Equivalent,44978,0.0,29.5
Associate Degree or Short-cycle Tertiary Education,136835,28.0,49.5
Bachelor Degree or Equivalent,118962,6.0,39.5
Associate Degree or Short-cycle Tertiary Education,77379,11.0,29.5
Associate Degree or Short-cycle Tertiary Education,48000,12.0,29.5
Bachelor Degree or Equivalent,132208,17.0,39.5
Bachelor Degree or Equivalent,5114,3.0,21.0
Master Degree or Equivalent,33666,9.0,29.5
Professional Degree,103110.08171765343,20.0,49.5
Master Degree or Equivalent,20967,15.0,39.5
Bachelor Degree or Equivalent,3658,4.0,29.5
Master Degree or Equivalent,72843,6.0,29.5
Bachelor Degree or Equivalent,20534,1.0,29.5
Bachelor Degree or Equivalent,120000,8.0,39.5
Bachelor Degree or Equivalent,184000,2.0,21.0
Secondary Education,165260,28.0,49.5
Master Degree or Equivalent,850000,6.0,29.5
Master Degree or Equivalent,186,5.0,29.5
Bachelor Degree or Equivalent,36161,9.0,29.5
Bachelor Degree or Equivalent,180000,6.0,29.5
Bachelor Degree or Equivalent,43613,8.0,29.5
Master Degree or Equivalent,187000,13.0,39.5
Bachelor Degree or Equivalent,122292,22.0,39.5
Bachelor Degree or Equivalent,103110.08171765343,50.0,59.5
Bachelor Degree or Equivalent,74351,30.0,59.5
Bachelor Degree or Equivalent,80000,11.0,29.5
Bachelor Degree or Equivalent,112551,10.0,39.5
Bachelor Degree or Equivalent,190000,17.0,39.5
Bachelor Degree or Equivalent,75878,9.0,29.5
Bachelor Degree or Equivalent,285000,4.0,29.5
Bachelor Degree or Equivalent,18980,9.0,39.5
Master Degree or Equivalent,270000,12.0,39.5
Bachelor Degree or Equivalent,99156,30.0,49.5
Bachelor Degree or Equivalent,260230,15.0,39.5
Bachelor Degree or Equivalent,160000,10.0,29.5
Primary Education,1,3.0,21.0
Bachelor Degree or Equivalent,103110.08171765343,37.0,59.5
Bachelor Degree or Equivalent,145429,10.0,39.5
Secondary Education,28757,2.0,39.5
Associate Degree or Short-cycle Tertiary Education,271,10.0,49.5
Master Degree or Equivalent,134250,5.0,29.5
Bachelor Degree or Equivalent,132331,29.0,49.5
Bachelor Degree or Equivalent,207000,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,81787,5.0,39.5
Bachelor Degree or Equivalent,133833,17.0,39.5
Bachelor Degree or Equivalent,109264,20.0,39.5
Associate Degree or Short-cycle Tertiary Education,70634,23.0,39.5
Master Degree or Equivalent,60000,1.0,29.5
Bachelor Degree or Equivalent,59481,2.0,29.5
Bachelor Degree or Equivalent,76019,5.0,29.5
Bachelor Degree or Equivalent,130000,25.0,49.5
Master Degree or Equivalent,56275,2.0,29.5
,77104,5.0,29.5
Secondary Education,118987,20.0,39.5
Bachelor Degree or Equivalent,1021,3.0,29.5
Bachelor Degree or Equivalent,103110.08171765343,43.0,70.0
Master Degree or Equivalent,25423,3.0,29.5
Bachelor Degree or Equivalent,72843,4.0,21.0
Bachelor Degree or Equivalent,10662,5.0,21.0
Bachelor Degree or Equivalent,99156,9.0,29.5
Master Degree or Equivalent,42207,9.0,29.5
Bachelor Degree or Equivalent,800000,20.0,39.5
Bachelor Degree or Equivalent,34034,7.0,29.5
Bachelor Degree or Equivalent,36351,2.0,29.5
Bachelor Degree or Equivalent,68699,4.0,29.5
Secondary Education,53000,3.0,39.5
Bachelor Degree or Equivalent,103110.08171765343,33.0,59.5
Primary Education,103110.08171765343,6.0,29.5
Master Degree or Equivalent,48562,5.0,29.5
Bachelor Degree or Equivalent,66104,14.0,39.5
Bachelor Degree or Equivalent,92545,13.0,39.5
Bachelor Degree or Equivalent,165000,20.0,49.5
Bachelor Degree or Equivalent,74808,4.0,29.5
Bachelor Degree or Equivalent,63199,2.0,29.5
Associate Degree or Short-cycle Tertiary Education,66104,29.0,49.5
Bachelor Degree or Equivalent,115682,23.0,49.5
Associate Degree or Short-cycle Tertiary Education,74367,25.0,49.5
Bachelor Degree or Equivalent,75878,8.0,49.5
Bachelor Degree or Equivalent,198312,6.0,39.5
Master Degree or Equivalent,57079,8.0,29.5
Master Degree or Equivalent,165260,15.0,39.5
Bachelor Degree or Equivalent,72000,2.0,21.0
Secondary Education,103110.08171765343,28.0,39.5
Associate Degree or Short-cycle Tertiary Education,220000,8.0,29.5
Professional Degree,425,14.0,49.5
Professional Degree,210000,5.0,39.5
Master Degree or Equivalent,180000,7.0,29.5
Bachelor Degree or Equivalent,122217,11.0,29.5
Bachelor Degree or Equivalent,3347,3.0,29.5
Bachelor Degree or Equivalent,55764,3.0,29.5
Master Degree or Equivalent,70344,5.0,29.5
Master Degree or Equivalent,190000,10.0,29.5
Bachelor Degree or Equivalent,69409,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,120000,50.0,59.5
Bachelor Degree or Equivalent,8000,4.0,29.5
Professional Degree,300000,17.0,49.5
Associate Degree or Short-cycle Tertiary Education,72843,3.0,29.5
Bachelor Degree or Equivalent,8753,6.0,21.0
Associate Degree or Short-cycle Tertiary Education,1717,1.0,21.0
Master Degree or Equivalent,287500,14.0,39.5
Master Degree or Equivalent,13000,6.0,29.5
Master Degree or Equivalent,103110.08171765343,43.0,70.0
Bachelor Degree or Equivalent,118987,17.0,39.5
Master Degree or Equivalent,103110.08171765343,40.0,70.0
Bachelor Degree or Equivalent,79325,13.0,29.5
Master Degree or Equivalent,600000,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,136000,1.0,39.5
Bachelor Degree or Equivalent,180000,1.0,21.0
Bachelor Degree or Equivalent,20599,5.0,29.5
Bachelor Degree or Equivalent,4198,12.0,39.5
Bachelor Degree or Equivalent,72714,6.0,39.5
Bachelor Degree or Equivalent,80040,5.0,29.5
Bachelor Degree or Equivalent,350000,8.0,39.5
Bachelor Degree or Equivalent,190000,10.0,29.5
Master Degree or Equivalent,300000,18.0,39.5
Associate Degree or Short-cycle Tertiary Education,66104,30.0,59.5
Professional Degree,66772,2.0,29.5
Bachelor Degree or Equivalent,87257,6.0,29.5
Bachelor Degree or Equivalent,72714,5.0,29.5
Professional Degree,220000,28.0,49.5
Associate Degree or Short-cycle Tertiary Education,9694,4.0,21.0
Bachelor Degree or Equivalent,3584,5.0,29.5
Associate Degree or Short-cycle Tertiary Education,126397,5.0,29.5
Master Degree or Equivalent,22175,1.0,29.5
Bachelor Degree or Equivalent,105676,18.0,39.5
Associate Degree or Short-cycle Tertiary Education,183000,13.0,39.5
Associate Degree or Short-cycle Tertiary Education,80000,0.0,21.0
Associate Degree or Short-cycle Tertiary Education,110394,28.0,49.5
Master Degree or Equivalent,165000,22.0,39.5
Bachelor Degree or Equivalent,10253,1.0,21.0
Bachelor Degree or Equivalent,25605,2.0,21.0
Bachelor Degree or Equivalent,7000,2.0,21.0
,103110.08171765343,16.0,39.5
Master Degree or Equivalent,292000,19.0,39.5
Master Degree or Equivalent,180000,2.0,21.0
Bachelor Degree or Equivalent,187500,8.0,29.5
Associate Degree or Short-cycle Tertiary Education,30577,23.0,39.5
Master Degree or Equivalent,16964,8.0,29.5
Professional Degree,310000,7.0,29.5
Bachelor Degree or Equivalent,27836,6.0,29.5
Associate Degree or Short-cycle Tertiary Education,222334,19.0,39.5
Bachelor Degree or Equivalent,148703,5.0,29.5
Master Degree or Equivalent,84000,2.0,29.5
Bachelor Degree or Equivalent,10221,1.0,21.0
Associate Degree or Short-cycle Tertiary Education,99156,12.0,29.5
Professional Degree,66104,10.0,29.5
Bachelor Degree or Equivalent,200000,8.0,39.5
Bachelor Degree or Equivalent,105766,16.0,39.5
Bachelor Degree or Equivalent,8885,2.0,29.5
Master Degree or Equivalent,84413,6.0,29.5
Bachelor Degree or Equivalent,3635,2.0,21.0
Bachelor Degree or Equivalent,79325,3.0,29.5
Bachelor Degree or Equivalent,92545,19.0,39.5
Bachelor Degree or Equivalent,20599,9.0,29.5
Bachelor Degree or Equivalent,94000,7.0,29.5
Bachelor Degree or Equivalent,142123,10.0,29.5
Bachelor Degree or Equivalent,111527,15.0,39.5
Associate Degree or Short-cycle Tertiary Education,165260,30.0,49.5
Master Degree or Equivalent,18175,5.0,29.5
Bachelor Degree or Equivalent,103110.08171765343,30.0,39.5
Bachelor Degree or Equivalent,103110.08171765343,13.0,49.5
Bachelor Degree or Equivalent,113750,4.0,21.0
Secondary Education,39662,15.0,49.5
Bachelor Degree or Equivalent,21271,5.0,29.5
Bachelor Degree or Equivalent,122000,13.0,39.5
Bachelor Degree or Equivalent,92939,17.0,39.5
Bachelor Degree or Equivalent,19743,2.0,39.5
Bachelor Degree or Equivalent,122292,18.0,39.5
Associate Degree or Short-cycle Tertiary Education,35778,14.0,29.5
Master Degree or Equivalent,88018,13.0,39.5
Bachelor Degree or Equivalent,210000,4.0,29.5
Bachelor Degree or Equivalent,30292,9.0,29.5
Master Degree or Equivalent,32300,2.0,29.5
Master Degree or Equivalent,71683,16.0,39.5
Associate Degree or Short-cycle Tertiary Education,15801,5.0,29.5
Bachelor Degree or Equivalent,55197,0.0,21.0
Associate Degree or Short-cycle Tertiary Education,800000,26.0,49.5
Bachelor Degree or Equivalent,260000,7.0,29.5
Bachelor Degree or Equivalent,105766,23.0,49.5
Bachelor Degree or Equivalent,54462,2.0,21.0
Master Degree or Equivalent,55976,3.0,29.5
Bachelor Degree or Equivalent,42306,29.0,59.5
Professional Degree,170000,18.0,39.5
Associate Degree or Short-cycle Tertiary Education,99156,2.0,39.5
Bachelor Degree or Equivalent,169000,6.0,29.5
Bachelor Degree or Equivalent,15388,5.0,29.5
Secondary Education,170000,18.0,29.5
Bachelor Degree or Equivalent,66916,2.0,21.0
Master Degree or Equivalent,132208,7.0,29.5
Associate Degree or Short-cycle Tertiary Education,40400,7.0,29.5
Associate Degree or Short-cycle Tertiary Education,320000,15.0,29.5
Bachelor Degree or Equivalent,36937,4.0,29.5
Bachelor Degree or Equivalent,111527,3.0,29.5
Bachelor Degree or Equivalent,4834,4.0,29.5
Professional Degree,100000,12.0,39.5
Associate Degree or Short-cycle Tertiary Education,77961,14.0,29.5
Master Degree or Equivalent,167291,14.0,29.5
Bachelor Degree or Equivalent,115000,3.0,39.5
Master Degree or Equivalent,60000,23.0,39.5
Associate Degree or Short-cycle Tertiary Education,110000,10.0,29.5
Associate Degree or Short-cycle Tertiary Education,103110.08171765343,36.0,70.0
Master Degree or Equivalent,51403,3.0,29.5
Master Degree or Equivalent,101000,11.0,29.5
Bachelor Degree or Equivalent,592,0.0,21.0
Bachelor Degree or Equivalent,63942,8.0,39.5
Associate Degree or Short-cycle Tertiary Education,40868,4.0,29.5
Bachelor Degree or Equivalent,330000,16.0,39.5
Associate Degree or Short-cycle Tertiary Education,165260,13.0,39.5
Bachelor Degree or Equivalent,39500,22.0,39.5
Bachelor Degree or Equivalent,490000,5.0,29.5
Bachelor Degree or Equivalent,5105,1.0,21.0
Bachelor Degree or Equivalent,78000,2.0,21.0
Bachelor Degree or Equivalent,92545,3.0,29.5
Associate Degree or Short-cycle Tertiary Education,74351,3.0,21.0
Associate Degree or Short-cycle Tertiary Education,74351,17.0,39.5
Bachelor Degree or Equivalent,63600,9.0,29.5
Bachelor Degree or Equivalent,14540,16.0,39.5
,44978,0.0,21.0
Associate Degree or Short-cycle Tertiary Education,59481,5.0,21.0
,2462,5.0,39.5
Bachelor Degree or Equivalent,175000,5.0,21.0
Bachelor Degree or Equivalent,88934,12.0,29.5
Associate Degree or Short-cycle Tertiary Education,8453,3.0,21.0
Bachelor Degree or Equivalent,150000,1.0,21.0
Master Degree or Equivalent,4180,1.0,29.5
Bachelor Degree or Equivalent,929,6.0,39.5
Master Degree or Equivalent,49503,13.0,29.5
Bachelor Degree or Equivalent,69608,7.0,49.5
Bachelor Degree or Equivalent,36518,13.0,29.5
Professional Degree,125000,4.0,29.5
Bachelor Degree or Equivalent,275000,7.0,29.5
Bachelor Degree or Equivalent,1395,2.0,21.0
Bachelor Degree or Equivalent,4548,2.0,21.0
Associate Degree or Short-cycle Tertiary Education,9297,2.0,21.0
Secondary Education,41464,4.0,21.0
Master Degree or Equivalent,89955,12.0,39.5
Bachelor Degree or Equivalent,5531,0.0,21.0
Bachelor Degree or Equivalent,163938,28.0,49.5
Bachelor Degree or Equivalent,59403,15.0,39.5
