@relation Combined_Dataset

@attribute 'Years of Experience' numeric
@attribute 'Education Level' {'Bachelor Degree or Equivalent','Master Degree or Equivalent','Doctorate or Equivalent',NA,'Associate Degree or Short-cycle Tertiary Education','Primary Education','Professional Degree','Secondary Education'}
@attribute Age numeric
@attribute Salary_Level {low,medium,high}

@data
28,'Master Degree or Equivalent',49.5,high
18,'Bachelor Degree or Equivalent',49.5,high
9,'Master Degree or Equivalent',29.5,high
22,'Associate Degree or Short-cycle Tertiary Education',49.5,medium
5,'Bachelor Degree or Equivalent',29.5,high
17,'Bachelor Degree or Equivalent',49.5,medium
12,'Bachelor Degree or Equivalent',39.5,high
3,'Bachelor Degree or Equivalent',29.5,medium
8,'Associate Degree or Short-cycle Tertiary Education',29.5,high
41,'Bachelor Degree or Equivalent',70,high
9,'Associate Degree or Short-cycle Tertiary Education',49.5,high
10,'Bachelor Degree or Equivalent',29.5,high
13,'Bachelor Degree or Equivalent',39.5,high
6,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
3,'Master Degree or Equivalent',21,medium
20,'Professional Degree',39.5,high
10,'Bachelor Degree or Equivalent',29.5,low
28,'Master Degree or Equivalent',49.5,high
29,'Master Degree or Equivalent',49.5,high
10,'Bachelor Degree or Equivalent',29.5,low
2,'Bachelor Degree or Equivalent',29.5,medium
7,'Secondary Education',39.5,medium
3,'Master Degree or Equivalent',29.5,medium
2,'Secondary Education',29.5,low
22,'Bachelor Degree or Equivalent',70,high
18,'Bachelor Degree or Equivalent',39.5,medium
22,'Secondary Education',39.5,high
15,'Bachelor Degree or Equivalent',39.5,medium
28,'Secondary Education',49.5,high
3,'Associate Degree or Short-cycle Tertiary Education',29.5,low
6,'Master Degree or Equivalent',29.5,medium
35,'Bachelor Degree or Equivalent',49.5,medium
7,'Bachelor Degree or Equivalent',39.5,medium
10,'Master Degree or Equivalent',39.5,high
5,'Associate Degree or Short-cycle Tertiary Education',39.5,medium
5,'Bachelor Degree or Equivalent',39.5,medium
4,'Bachelor Degree or Equivalent',29.5,low
15,'Bachelor Degree or Equivalent',39.5,low
6,'Bachelor Degree or Equivalent',29.5,high
6,'Bachelor Degree or Equivalent',29.5,high
32,'Master Degree or Equivalent',59.5,high
18,'Bachelor Degree or Equivalent',39.5,medium
5,'Master Degree or Equivalent',29.5,medium
5,'Bachelor Degree or Equivalent',29.5,low
12,'Associate Degree or Short-cycle Tertiary Education',29.5,high
29,'Associate Degree or Short-cycle Tertiary Education',49.5,high
4,'Master Degree or Equivalent',29.5,low
35,'Bachelor Degree or Equivalent',59.5,low
9,'Bachelor Degree or Equivalent',29.5,high
5,'Bachelor Degree or Equivalent',29.5,high
10,'Bachelor Degree or Equivalent',39.5,medium
7,'Master Degree or Equivalent',29.5,high
6,'Bachelor Degree or Equivalent',29.5,medium
11,'Associate Degree or Short-cycle Tertiary Education',29.5,low
3,'Associate Degree or Short-cycle Tertiary Education',49.5,medium
18,'Master Degree or Equivalent',39.5,high
8,'Master Degree or Equivalent',39.5,low
14,'Bachelor Degree or Equivalent',29.5,high
1,'Master Degree or Equivalent',21,low
24,'Master Degree or Equivalent',49.5,high
40,'Associate Degree or Short-cycle Tertiary Education',59.5,medium
23,'Associate Degree or Short-cycle Tertiary Education',39.5,medium
6,'Professional Degree',29.5,high
25,'Master Degree or Equivalent',49.5,medium
5,'Bachelor Degree or Equivalent',29.5,medium
4,'Associate Degree or Short-cycle Tertiary Education',21,low
8,'Bachelor Degree or Equivalent',49.5,medium
1,'Bachelor Degree or Equivalent',39.5,medium
7,'Master Degree or Equivalent',29.5,low
1,'Bachelor Degree or Equivalent',21,low
12,'Master Degree or Equivalent',29.5,medium
16,'Bachelor Degree or Equivalent',39.5,medium
24,'Bachelor Degree or Equivalent',49.5,high
5,'Bachelor Degree or Equivalent',49.5,medium
4,'Bachelor Degree or Equivalent',29.5,low
7,'Associate Degree or Short-cycle Tertiary Education',29.5,low
20,'Secondary Education',70,high
2,'Master Degree or Equivalent',29.5,medium
23,'Professional Degree',49.5,medium
5,'Master Degree or Equivalent',39.5,medium
10,'Bachelor Degree or Equivalent',29.5,high
26,'Bachelor Degree or Equivalent',59.5,high
6,'Bachelor Degree or Equivalent',39.5,high
9,'Master Degree or Equivalent',29.5,low
9,'Master Degree or Equivalent',29.5,medium
3,'Bachelor Degree or Equivalent',21,medium
14,'Bachelor Degree or Equivalent',39.5,low
7,'Bachelor Degree or Equivalent',29.5,low
15,'Master Degree or Equivalent',29.5,medium
1,'Bachelor Degree or Equivalent',21,low
15,'Associate Degree or Short-cycle Tertiary Education',29.5,high
7,'Professional Degree',29.5,medium
8,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
40,'Bachelor Degree or Equivalent',59.5,high
18,'Master Degree or Equivalent',39.5,high
11,'Master Degree or Equivalent',29.5,high
28,'Master Degree or Equivalent',49.5,medium
30,'Associate Degree or Short-cycle Tertiary Education',49.5,high
3,'Master Degree or Equivalent',21,medium
38,'Master Degree or Equivalent',59.5,high
23,'Master Degree or Equivalent',59.5,high
2,'Master Degree or Equivalent',29.5,low
1,'Associate Degree or Short-cycle Tertiary Education',29.5,low
1,'Bachelor Degree or Equivalent',29.5,high
1,'Associate Degree or Short-cycle Tertiary Education',21,low
12,'Associate Degree or Short-cycle Tertiary Education',39.5,medium
2,'Bachelor Degree or Equivalent',29.5,medium
5,'Master Degree or Equivalent',29.5,medium
6,'Master Degree or Equivalent',29.5,low
11,'Master Degree or Equivalent',39.5,medium
19,'Bachelor Degree or Equivalent',39.5,high
10,'Master Degree or Equivalent',39.5,low
7,?,29.5,low
29,'Associate Degree or Short-cycle Tertiary Education',49.5,medium
8,'Bachelor Degree or Equivalent',29.5,medium
8,'Secondary Education',29.5,low
18,'Bachelor Degree or Equivalent',39.5,high
7,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
10,'Master Degree or Equivalent',29.5,medium
9,'Bachelor Degree or Equivalent',29.5,medium
6,'Secondary Education',21,medium
10,'Master Degree or Equivalent',39.5,medium
0,'Associate Degree or Short-cycle Tertiary Education',39.5,low
3,'Associate Degree or Short-cycle Tertiary Education',29.5,high
0,'Bachelor Degree or Equivalent',21,low
8,'Associate Degree or Short-cycle Tertiary Education',29.5,low
1,'Master Degree or Equivalent',21,high
30,'Professional Degree',59.5,medium
15,'Bachelor Degree or Equivalent',39.5,high
5,'Bachelor Degree or Equivalent',39.5,medium
8,'Master Degree or Equivalent',29.5,low
4,'Master Degree or Equivalent',29.5,low
2,'Master Degree or Equivalent',21,low
7,'Bachelor Degree or Equivalent',29.5,medium
27,'Bachelor Degree or Equivalent',49.5,high
8,'Professional Degree',39.5,high
21,'Bachelor Degree or Equivalent',39.5,high
27,'Associate Degree or Short-cycle Tertiary Education',49.5,high
21,'Associate Degree or Short-cycle Tertiary Education',39.5,high
10,'Master Degree or Equivalent',39.5,medium
10,'Master Degree or Equivalent',39.5,medium
3,?,21,medium
26,'Associate Degree or Short-cycle Tertiary Education',49.5,high
15,'Bachelor Degree or Equivalent',39.5,high
13,'Bachelor Degree or Equivalent',39.5,high
5,'Master Degree or Equivalent',29.5,low
3,'Master Degree or Equivalent',29.5,low
2,'Bachelor Degree or Equivalent',21,high
12,'Associate Degree or Short-cycle Tertiary Education',49.5,high
3,'Bachelor Degree or Equivalent',29.5,high
1,'Bachelor Degree or Equivalent',29.5,low
16,'Master Degree or Equivalent',39.5,medium
5,'Professional Degree',39.5,low
43,'Professional Degree',70,medium
11,'Bachelor Degree or Equivalent',29.5,medium
5,?,29.5,medium
9,'Professional Degree',39.5,high
2,'Bachelor Degree or Equivalent',29.5,low
5,'Bachelor Degree or Equivalent',29.5,low
2,'Bachelor Degree or Equivalent',29.5,low
16,'Bachelor Degree or Equivalent',49.5,high
5,'Professional Degree',49.5,low
2,'Master Degree or Equivalent',21,low
12,'Master Degree or Equivalent',39.5,high
3,'Bachelor Degree or Equivalent',29.5,high
4,'Bachelor Degree or Equivalent',29.5,medium
11,'Bachelor Degree or Equivalent',29.5,medium
6,'Master Degree or Equivalent',29.5,high
4,'Secondary Education',21,low
20,'Master Degree or Equivalent',59.5,high
45,'Associate Degree or Short-cycle Tertiary Education',59.5,high
41,'Professional Degree',70,high
26,'Associate Degree or Short-cycle Tertiary Education',39.5,medium
1,?,21,low
29,'Associate Degree or Short-cycle Tertiary Education',49.5,medium
4,'Bachelor Degree or Equivalent',29.5,low
3,'Master Degree or Equivalent',29.5,high
5,'Bachelor Degree or Equivalent',29.5,high
2,'Primary Education',21,high
25,'Associate Degree or Short-cycle Tertiary Education',49.5,high
20,'Bachelor Degree or Equivalent',39.5,medium
9,'Associate Degree or Short-cycle Tertiary Education',29.5,high
10,'Bachelor Degree or Equivalent',39.5,high
9,'Master Degree or Equivalent',29.5,medium
6,'Bachelor Degree or Equivalent',29.5,medium
12,'Master Degree or Equivalent',29.5,medium
7,'Secondary Education',29.5,medium
16,'Bachelor Degree or Equivalent',39.5,medium
5,'Master Degree or Equivalent',29.5,medium
11,'Bachelor Degree or Equivalent',29.5,medium
7,'Professional Degree',39.5,high
35,'Bachelor Degree or Equivalent',59.5,medium
33,'Bachelor Degree or Equivalent',49.5,high
15,'Bachelor Degree or Equivalent',39.5,high
3,'Master Degree or Equivalent',29.5,medium
5,'Bachelor Degree or Equivalent',29.5,low
5,'Professional Degree',29.5,low
9,'Bachelor Degree or Equivalent',39.5,high
16,'Bachelor Degree or Equivalent',39.5,high
3,'Bachelor Degree or Equivalent',29.5,low
7,'Secondary Education',49.5,low
6,'Master Degree or Equivalent',29.5,medium
6,'Bachelor Degree or Equivalent',29.5,medium
6,'Bachelor Degree or Equivalent',29.5,medium
13,'Professional Degree',29.5,medium
17,'Associate Degree or Short-cycle Tertiary Education',49.5,low
8,'Associate Degree or Short-cycle Tertiary Education',29.5,low
23,'Secondary Education',49.5,high
13,'Primary Education',39.5,medium
13,'Bachelor Degree or Equivalent',21,high
9,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
12,'Master Degree or Equivalent',39.5,medium
2,'Bachelor Degree or Equivalent',29.5,low
6,'Bachelor Degree or Equivalent',29.5,medium
22,'Bachelor Degree or Equivalent',39.5,low
2,'Bachelor Degree or Equivalent',21,low
28,'Bachelor Degree or Equivalent',49.5,high
9,'Bachelor Degree or Equivalent',29.5,low
10,'Bachelor Degree or Equivalent',29.5,high
2,'Bachelor Degree or Equivalent',29.5,high
24,'Bachelor Degree or Equivalent',49.5,high
3,'Bachelor Degree or Equivalent',29.5,high
20,'Associate Degree or Short-cycle Tertiary Education',39.5,high
11,'Associate Degree or Short-cycle Tertiary Education',39.5,high
10,'Master Degree or Equivalent',29.5,medium
6,'Master Degree or Equivalent',29.5,high
1,'Bachelor Degree or Equivalent',29.5,low
12,'Bachelor Degree or Equivalent',29.5,high
1,'Associate Degree or Short-cycle Tertiary Education',21,medium
0,'Secondary Education',21,low
5,'Master Degree or Equivalent',29.5,low
7,'Bachelor Degree or Equivalent',29.5,high
4,'Bachelor Degree or Equivalent',29.5,low
9,'Bachelor Degree or Equivalent',29.5,high
8,'Bachelor Degree or Equivalent',39.5,high
40,'Associate Degree or Short-cycle Tertiary Education',59.5,medium
5,'Bachelor Degree or Equivalent',21,medium
5,'Bachelor Degree or Equivalent',29.5,low
4,'Bachelor Degree or Equivalent',29.5,low
3,'Bachelor Degree or Equivalent',29.5,high
4,'Bachelor Degree or Equivalent',21,high
6,'Secondary Education',21,medium
25,'Associate Degree or Short-cycle Tertiary Education',39.5,medium
9,'Bachelor Degree or Equivalent',39.5,high
5,'Master Degree or Equivalent',29.5,high
17,'Associate Degree or Short-cycle Tertiary Education',39.5,high
13,'Bachelor Degree or Equivalent',29.5,medium
6,'Master Degree or Equivalent',29.5,medium
10,'Bachelor Degree or Equivalent',39.5,low
21,'Master Degree or Equivalent',49.5,high
4,'Bachelor Degree or Equivalent',39.5,medium
3,'Bachelor Degree or Equivalent',21,low
5,'Bachelor Degree or Equivalent',29.5,low
14,'Bachelor Degree or Equivalent',39.5,high
9,'Bachelor Degree or Equivalent',29.5,medium
13,'Master Degree or Equivalent',39.5,high
6,'Master Degree or Equivalent',39.5,medium
32,'Bachelor Degree or Equivalent',70,high
6,'Bachelor Degree or Equivalent',29.5,low
2,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
47,'Bachelor Degree or Equivalent',70,low
1,'Bachelor Degree or Equivalent',29.5,low
15,'Bachelor Degree or Equivalent',39.5,high
45,'Bachelor Degree or Equivalent',70,low
8,'Bachelor Degree or Equivalent',29.5,medium
11.237178,NA,39.5,high
17,'Bachelor Degree or Equivalent',39.5,high
15,'Bachelor Degree or Equivalent',39.5,high
3,'Bachelor Degree or Equivalent',39.5,medium
2,'Bachelor Degree or Equivalent',21,low
4,'Bachelor Degree or Equivalent',29.5,high
0,'Bachelor Degree or Equivalent',21,medium
0,'Primary Education',18,low
6,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
4,'Bachelor Degree or Equivalent',29.5,medium
7,?,29.5,high
22,'Associate Degree or Short-cycle Tertiary Education',29.5,high
4,'Master Degree or Equivalent',29.5,low
10,'Master Degree or Equivalent',29.5,medium
4,'Associate Degree or Short-cycle Tertiary Education',29.5,low
4,'Bachelor Degree or Equivalent',39.5,medium
7,'Bachelor Degree or Equivalent',29.5,low
11,'Secondary Education',39.5,low
1,'Associate Degree or Short-cycle Tertiary Education',21,low
10,'Bachelor Degree or Equivalent',29.5,medium
10,'Master Degree or Equivalent',39.5,high
11,'Bachelor Degree or Equivalent',29.5,medium
6,'Master Degree or Equivalent',29.5,medium
25,'Professional Degree',49.5,low
22,'Bachelor Degree or Equivalent',49.5,high
18,'Associate Degree or Short-cycle Tertiary Education',39.5,high
11,'Bachelor Degree or Equivalent',39.5,medium
7,'Master Degree or Equivalent',29.5,high
27,'Master Degree or Equivalent',49.5,medium
9,'Bachelor Degree or Equivalent',21,low
10,'Master Degree or Equivalent',29.5,high
11,'Bachelor Degree or Equivalent',39.5,medium
24,'Bachelor Degree or Equivalent',39.5,low
15,'Master Degree or Equivalent',39.5,high
5,'Bachelor Degree or Equivalent',29.5,low
7,'Secondary Education',39.5,medium
12,'Master Degree or Equivalent',39.5,high
9,'Bachelor Degree or Equivalent',29.5,high
6,'Professional Degree',29.5,low
18,'Bachelor Degree or Equivalent',39.5,high
32,'Master Degree or Equivalent',59.5,medium
3,'Bachelor Degree or Equivalent',21,low
12,'Bachelor Degree or Equivalent',29.5,medium
19,'Professional Degree',49.5,high
1,'Bachelor Degree or Equivalent',29.5,low
16,?,39.5,low
9,'Professional Degree',39.5,high
4,'Associate Degree or Short-cycle Tertiary Education',29.5,high
2,'Associate Degree or Short-cycle Tertiary Education',21,medium
8,'Master Degree or Equivalent',29.5,medium
4,'Bachelor Degree or Equivalent',21,medium
6,'Bachelor Degree or Equivalent',29.5,medium
0,'Associate Degree or Short-cycle Tertiary Education',21,low
7,'Bachelor Degree or Equivalent',29.5,medium
17,'Associate Degree or Short-cycle Tertiary Education',39.5,low
30,'Associate Degree or Short-cycle Tertiary Education',49.5,high
10,'Bachelor Degree or Equivalent',29.5,high
2,'Master Degree or Equivalent',39.5,low
20,'Bachelor Degree or Equivalent',59.5,high
5,'Master Degree or Equivalent',29.5,medium
3,'Bachelor Degree or Equivalent',21,high
8,'Bachelor Degree or Equivalent',29.5,high
28,'Associate Degree or Short-cycle Tertiary Education',59.5,medium
1,'Master Degree or Equivalent',29.5,medium
7,'Bachelor Degree or Equivalent',29.5,medium
13,'Bachelor Degree or Equivalent',29.5,low
10,'Bachelor Degree or Equivalent',39.5,medium
3,'Master Degree or Equivalent',29.5,low
9,'Bachelor Degree or Equivalent',39.5,medium
14,'Bachelor Degree or Equivalent',39.5,high
0,'Bachelor Degree or Equivalent',39.5,low
0,'Bachelor Degree or Equivalent',29.5,medium
4,'Associate Degree or Short-cycle Tertiary Education',29.5,medium
3,'Associate Degree or Short-cycle Tertiary Education',21,medium
10,?,29.5,high
14,'Secondary Education',39.5,medium
2,'Professional Degree',29.5,high
11,'Bachelor Degree or Equivalent',38,medium
10,'Associate Degree or Short-cycle Tertiary Education',49.5,low
8,'Master Degree or Equivalent',39.5,low
35,'Bachelor Degree or Equivalent',49.5,high
1,'Master Degree or Equivalent',29.5,medium
12,'Master Degree or Equivalent',29.5,high
23,'Bachelor Degree or Equivalent',49.5,high
1,'Master Degree or Equivalent',29.5,medium
8,'Associate Degree or Short-cycle Tertiary Education',29.5,high
4,'Associate Degree or Short-cycle Tertiary Education',29.5,low
28,'Master Degree or Equivalent',49.5,high
16,'Associate Degree or Short-cycle Tertiary Education',29.5,high
15,'Secondary Education',49.5,medium
5,'Master Degree or Equivalent',29.5,high
11,'Bachelor Degree or Equivalent',39.5,medium
2,'Associate Degree or Short-cycle Tertiary Education',29.5,low
23,'Bachelor Degree or Equivalent',39.5,high
11.237178,NA,59.5,high
17,'Master Degree or Equivalent',59.5,high
18,'Master Degree or Equivalent',39.5,medium
11,'Associate Degree or Short-cycle Tertiary Education',39.5,high
15,'Professional Degree',49.5,medium
15,'Bachelor Degree or Equivalent',39.5,low
23,'Associate Degree or Short-cycle Tertiary Education',39.5,high
8,'Bachelor Degree or Equivalent',29.5,low
29,'Professional Degree',59.5,high
8,'Bachelor Degree or Equivalent',29.5,medium
19,'Bachelor Degree or Equivalent',39.5,high
10,'Master Degree or Equivalent',29.5,high
2,'Bachelor Degree or Equivalent',21,low
38,'Professional Degree',59.5,high
2,'Associate Degree or Short-cycle Tertiary Education',21,medium
10,'Professional Degree',29.5,low
15,'Master Degree or Equivalent',39.5,medium
29,'Master Degree or Equivalent',39.5,low
26,'Master Degree or Equivalent',49.5,medium
5,'Bachelor Degree or Equivalent',29.5,medium
